Header
rate=30
frames=194
duration=6.4
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0.000000,0,0,0,5,0,16,-3,-14,0,15,-1,-18,0,0,0,0
0.033000,1,-1,0,5,0,18,-1,-16,0,17,0,-20,0,-4,0,0
0.066000,2,-2,0,5,-2,20,1,-18,-2,19,2,-22,0,-9,0,0
0.099000,3,-3,0,5,-3,22,3,-20,-3,21,4,-24,0,-14,0,0
0.132000,4,-4,0,5,-4,24,5,-22,-5,23,6,-26,-1,-19,1,0
0.165000,5,-5,0,5,-5,26,7,-24,-7,25,8,-28,-1,-24,1,0
0.198000,6,-6,1,5,-6,28,9,-26,-8,27,10,-30,-2,-29,2,0
0.231000,7,-7,1,5,-6,30,11,-28,-8,29,12,-32,-3,-34,3,0
0.264000,8,-8,2,5,-5,32,13,-30,-8,31,14,-34,-4,-39,5,0
0.297000,9,-9,2,5,-4,34,15,-32,-8,33,16,-36,-5,-44,6,0
0.330000,10,-10,3,5,-2,36,17,-34,-7,35,18,-38,-6,-49,7,0
0.363000,11,-11,3,5,0,38,19,-36,-6,37,20,-40,-7,-54,8,0
0.396000,12,-12,4,5,2,40,21,-38,-5,39,22,-42,-8,-59,10,0
0.429000,13,-13,4,5,4,42,23,-40,-3,41,24,-44,-9,-64,11,0
0.462000,14,-14,5,5,6,44,25,-42,-1,43,26,-46,-9,-69,12,0
0.495000,15,-15,5,5,8,46,27,-44,0,45,28,-48,-10,-74,13,0
0.528000,16,-16,6,5,10,48,29,-46,2,47,30,-50,-11,-79,14,0
0.561000,17,-17,6,5,12,50,31,-48,4,49,32,-52,-11,-84,16,0
0.594000,18,-18,6,5,14,52,33,-50,6,51,34,-54,-11,-88,17,0
0.627000,19,-19,6,5,16,54,35,-52,7,53,36,-56,-11,-89,17,0
0.660000,20,-20,7,5,18,56,37,-54,9,55,38,-58,-11,-88,18,0
0.693000,21,-20,7,5,20,58,39,-56,10,57,40,-60,-11,-86,19,0
0.726000,22,-20,7,5,22,60,41,-58,11,59,42,-62,-11,-84,20,0
0.759000,23,-20,6,5,23,62,43,-60,12,61,44,-61,-10,-80,21,0
0.792000,24,-19,6,5,24,64,45,-62,13,63,45,-60,-9,-75,22,0
0.825000,25,-19,5,5,24,66,45,-64,14,65,45,-60,-9,-70,23,0
0.858000,26,-19,5,5,24,67,45,-64,14,67,45,-59,-8,-65,24,0
0.891000,27,-18,4,5,23,67,45,-63,15,69,45,-58,-7,-60,25,0
0.924000,28,-17,3,5,23,66,45,-61,16,71,45,-57,-6,-55,26,0
0.957000,29,-17,2,5,22,66,45,-60,16,72,45,-57,-4,-50,27,0
0.990000,30,-16,1,5,22,66,45,-58,17,70,45,-56,-3,-45,28,0
1.023000,31,-15,0,5,21,66,45,-56,17,69,45,-55,-2,-40,29,0
1.056000,32,-15,0,5,20,65,45,-54,17,67,45,-54,0,-35,30,0
1.089000,33,-14,-1,5,19,65,45,-52,18,66,44,-53,0,-30,31,0
1.122000,34,-13,-2,5,18,65,45,-50,18,64,43,-52,1,-25,32,0
1.155000,35,-12,-3,5,17,65,45,-48,18,62,41,-51,3,-20,32,0
1.188000,36,-11,-4,5,17,64,44,-46,19,60,40,-50,4,-15,33,0
1.221000,37,-10,-5,5,16,64,42,-44,19,58,39,-49,5,-10,34,0
1.254000,38,-10,-6,5,15,64,41,-42,19,56,37,-48,7,-5,35,0
1.287000,39,-9,-7,5,14,63,39,-40,20,54,36,-47,8,0,36,0
1.320000,40,-8,-8,5,13,63,37,-38,20,52,35,-45,9,5,36,0
1.353000,41,-7,-9,5,12,63,35,-36,20,50,33,-44,10,10,37,0
1.386000,42,-6,-10,5,11,62,33,-34,20,48,32,-43,11,15,38,0
